benchmark,tool,timed_out,crashed,time,exec_time,solver_time,actual_results,line_numbers,issue_codes,issue_severities,issue_messages_json,issue_count
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/clean.sh,sash,False,False,1.11605610101833,0.08591207599965855,1.0301440250186715,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/execute.sh,sash,False,False,0.07848148499033414,0.07830228499369696,0.00017919999663718045,L6:unbound,6,unbound,error,"[""no definition found for ${BENCHMARK_SCRIPT}""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/fetch.sh,sash,False,False,0.23306095600128174,0.08564205499715172,0.14741890100413002,L5:cmd_expected_path_state;L7:loop_once,5;7,cmd_expected_path_state;loop_once,error;warning,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[d, i, r, n`, ArbitraryType.APPROXIMATION, state<481797941130631700>, pre:None, suf:SymStr(parts=('/inputs',)), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not"", ""loop for [i] in [[{, 0, ., ., 9, 9, }]]; do (Command: [[e, c, h, o], [V(Normal,False,i,[])]], reds[[FileRedir: To, fd: ('fixed', 1), arg: [Q([V(Normal,False,inputs_dir,[]), /, B(Command: [[p, r, i, n, t, f], [Q([%, 0, 3, d])], [V(Normal,False,i,[])]]), ., t, x, t])]]]) runs only once""]",2
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/install.sh,sash,False,False,0.008305269991979003,0.007965973985847086,0.00033929600613191724,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/scripts/main.sh,sash,False,False,0.18415346500114538,0.09632314799819142,0.08783031700295396,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/validate.sh,sash,False,False,0.004580251988954842,0.004346166999312118,0.0002340849896427244,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/clean.sh,sash,False,False,0.007795654993969947,0.007565715000964701,0.00022993999300524592,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/execute.sh,sash,False,False,0.0720120639889501,0.07184087700443342,0.00017118698451668024,L6:unbound,6,unbound,error,"[""no definition found for ${BENCHMARK_SCRIPT}""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/fetch.sh,sash,False,False,0.007585379004012793,0.007317081996006891,0.00026829700800590217,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/install.sh,sash,False,False,0.007541758997831494,0.007318688003579155,0.000223070994252339,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/scripts/main.sh,sash,False,False,0.0701365549757611,0.06985490198712796,0.0002816529886331409,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/scripts/sub.sh,sash,False,False,0.04142753902124241,0.04114756901981309,0.0002799700014293194,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/validate.sh,sash,False,False,0.009934509987942874,0.009600413992302492,0.00033409599564038217,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/shell-memory/clean.sh,sash,False,False,1.1301533000078052,0.08668972901068628,1.043463570997119,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/shell-memory/execute.sh,sash,False,False,0.08082583302166313,0.08065364899812266,0.00017218402354046702,L6:unbound,6,unbound,error,"[""no definition found for ${BENCHMARK_SCRIPT}""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/shell-memory/fetch.sh,sash,False,False,0.1311596560117323,0.07568908800021745,0.05547056801151484,L5:cmd_expected_path_state,5,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[d, i, r, n`, ArbitraryType.APPROXIMATION, state<481797941130631700>, pre:None, suf:SymStr(parts=('/inputs',)), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/shell-memory/install.sh,sash,False,False,0.012284425989491865,0.011965730984229594,0.00031869500526227057,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/shell-memory/scripts/main.sh,sash,False,False,0.03104282298590988,0.030796589999226853,0.00024623298668302596,,,,,[],0
