"benchmark","total_wall_time_sec","scripts"
"analytics",60.7645523060055,4
"bio",3216.665651936,3
"ci-cd",124.1307748930194,19
"covid",46.14416156000516,5
"etcetera",63.25921751900023,2
"file-mod",86.57554915899527,5
"inference",2373.1279581639974,3
"interact",293.3728200779997,2
"ml",164.95032583500142,1
"net",559.6379372069996,3
"nlp",656.5085083149825,23
"oneliners",14.015354208000645,12
"pkg",141.46802480000042,2
"rand",810.2457258999993,2
"repl",21.33132439799374,3
"unixfun",5.512628196993319,34
"weather",510.1422832170065,2
"web-search",1524.6427747349953,1
