benchmark,kind,missing_gt,crashed,timed_out,time,exec_time,solver_time,detected_all,expected_results,actual_results,shellcheck_codes,line_numbers,ast_nodes_total,ast_nodes_interpreted,ast_coverage_pct
/users/vagos/resash/benchmarks/milestone_1/loop_once-useless_test/posix.sh,buggy,False,False,False,0.1903893739945488,0.1903893739945488,13.857449645001907,True,L6:loop_once,L6:loop_once;L11:del_user_dir;L11:data_loss,,6;11;11,19,18,94.73684210526316
/users/vagos/resash/benchmarks/milestone_1/loop_once-useless_test/fixed.sh,fixed,False,False,True,5.953276607004227,5.953276607004227,90.01176307100104,True,L6:loop_once,L10:word_split;L10:data_loss,,10;10,19,18,94.73684210526316
/users/vagos/resash/benchmarks/milestone_1/redir_to_func-redir_to_func/posix.sh,buggy,False,False,False,0.10330538399284706,0.10330538399284706,1.074429713000427,True,L25:redir_func;L25:redir_func,L12:unbound;L12:unbound;L12:unbound;L18:unbound;L18:unbound;L18:unbound;L22:unbound;L22:unbound;L22:unbound;L25:redir_func;L25:redir_func;L28:cmd_expected_path_state,;,12;12;12;18;18;18;22;22;22;25;25;28,40,40,100.0
/users/vagos/resash/benchmarks/milestone_1/redir_to_func-redir_to_func/fixed.sh,fixed,False,False,True,3.770888190003461,3.770888190003461,90.01456137599598,True,L25:redir_func;L25:redir_func,L22:unbound;L22:unbound;L22:unbound;L28:cmd_expected_path_state;L39:data_loss,;,22;22;22;28;39,57,57,100.0
/users/vagos/resash/benchmarks/milestone_1/unset_var_1/posix.sh,buggy,False,False,True,168.51674879599886,168.51674879599886,90.01775973600161,True,L57:unbound;L60:unbound,L37:unbound;L37:cmd_expected_path_state;L57:unbound;L60:unbound,SC2154;SC2154,37;37;57;60,135,127,94.07407407407408
/users/vagos/resash/benchmarks/milestone_1/unset_var_1/fixed.sh,fixed,False,False,True,166.68171369899937,166.68171369899937,90.01696165099565,True,L57:unbound;L60:unbound,L37:unbound;L37:cmd_expected_path_state,SC2154;SC2154,37;37,135,127,94.07407407407408
/users/vagos/resash/benchmarks/milestone_1/unset_var_1/variants/bug-init_func.sh,buggy_variant,False,False,True,167.01075420799316,167.01075420799316,90.00296173800598,True,L62:unbound;L65:unbound,L42:unbound;L42:cmd_expected_path_state;L62:unbound;L65:unbound,SC2154;SC2154,42;42;62;65,141,128,90.78014184397163
/users/vagos/resash/benchmarks/milestone_1/unset_var_1/variants/fix-init_func.sh,fixed_variant,False,False,True,91.47520246000204,91.47520246000204,90.00609720499779,True,L66:unbound;L69:unbound,L46:unbound;L46:cmd_expected_path_state,SC2154;SC2154,46;46,145,120,82.75862068965517
/users/vagos/resash/benchmarks/milestone_1/const_loop/posix.sh,buggy,False,False,True,14.888502443995094,14.888502443995094,90.02032220800174,False,L11:infinite_loop,,,,23,23,100.0
/users/vagos/resash/benchmarks/milestone_1/const_loop/fixed.sh,fixed,False,False,True,29.24744760300382,29.24744760300382,90.00304784299806,True,L11:infinite_loop,,,,30,30,100.0
/users/vagos/resash/benchmarks/milestone_1/const_loop/variants/fix-const_test.sh,fixed_variant,False,False,True,14.84778577699035,14.84778577699035,90.0014866959973,True,L11:infinite_loop,,,,32,32,100.0
/users/vagos/resash/benchmarks/web_forums/claude4/posix.sh,buggy,False,False,False,0.013066273997537792,0.013066273997537792,0.10705329901247751,True,L6:data_loss,L6:data_loss,,6,4,4,100.0
/users/vagos/resash/benchmarks/web_forums/claude4/fixed.sh,fixed,False,False,False,0.010501065000426024,0.010501065000426024,0.02414076500281226,True,L6:data_loss,,,,4,4,100.0
/users/vagos/resash/benchmarks/web_forums/xargs_accident_rm/posix.sh,buggy,False,False,False,0.04201474100409541,0.04201474100409541,2.18950777099235,True,L3:cmd_expected_path_state;L3:unexpected_stdin,L3:unexpected_stdin;L3:cmd_expected_path_state,;,3;3,4,4,100.0
/users/vagos/resash/benchmarks/web_forums/xargs_accident_rm/fixed.sh,fixed,False,False,False,0.0009852769871940836,0.0009852769871940836,0.006382170002325438,True,L3:cmd_expected_path_state;L3:unexpected_stdin,,;,,0,0,0.0
/users/vagos/resash/benchmarks/web_forums/move_home/posix.sh,buggy,False,False,False,0.013391315995249897,0.013391315995249897,0.06354030600050464,True,L0:del_user_dir,L0:del_user_dir,,0,1,1,100.0
/users/vagos/resash/benchmarks/web_forums/move_home/fixed.sh,fixed,False,False,False,0.0009005879983305931,0.0009005879983305931,0.005714631988666952,True,L0:del_user_dir,,,,0,0,0.0
/users/vagos/resash/benchmarks/web_forums/troll/posix.sh,buggy,False,False,False,0.012571829007356428,0.012571829007356428,0.011198545005754568,True,L3:capturing_empty_output;L1:del_sys_file,L1:del_sys_file;L3:capturing_empty_output,;,1;3,2,2,100.0
/users/vagos/resash/benchmarks/web_forums/troll/fixed.sh,fixed,False,False,False,0.0008547819888917729,0.0008547819888917729,0.005626430996926501,True,L3:capturing_empty_output;L1:del_sys_file,,;,,0,0,0.0
/users/vagos/resash/benchmarks/web_forums/claude2/posix.sh,buggy,False,False,False,0.03964916100085247,0.03964916100085247,1.6886896039941348,True,L3:cmd_expected_path_state;L5:del_sys_file,L3:cmd_expected_path_state;L4:cmd_expected_path_state;L5:del_sys_file,;,3;4;5,3,3,100.0
/users/vagos/resash/benchmarks/web_forums/claude2/fixed.sh,fixed,False,False,False,0.0400133469956927,0.0400133469956927,1.37088848798885,False,L4:cmd_expected_path_state;L5:del_sys_file,L3:cmd_expected_path_state;L4:cmd_expected_path_state,;,3;4,5,5,100.0
/users/vagos/resash/benchmarks/web_forums/unset_var-cmd_always_fails/posix.sh,buggy,False,False,True,123.0910948439996,123.0910948439996,90.18160073099716,True,L9:unbound;L16:command_can_only_fail,L7:unbound;L9:unbound;L14:unbound;L16:command_can_only_fail;L16:cmd_expected_path_state,SC2153;,7;9;14;16;16,25,24,96.0
/users/vagos/resash/benchmarks/web_forums/unset_var-cmd_always_fails/fixed.sh,fixed,False,False,True,138.70446456699574,138.70446456699574,90.43302058099653,True,L9:unbound;L16:command_can_only_fail,L7:unbound;L14:unbound,SC2153;,7;14,25,24,96.0
/users/vagos/resash/benchmarks/web_forums/unset_var-cmd_always_fails/variants/bug-assign_later.sh,buggy_variant,False,False,True,123.08258157099772,123.08258157099772,90.23137831900385,True,L9:unbound;L16:command_can_only_fail,L7:unbound;L9:unbound;L14:unbound;L16:command_can_only_fail;L16:cmd_expected_path_state,SC2153;,7;9;14;16;16,27,24,88.88888888888889
